LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,SequenceID,BlockId,HasBlockId,ContentLength,TokenCount,Label,HasGroundTruth,EventTemplateCode,TemplateFrequency,ComponentFrequency,LevelFrequency,BlockFrequency,IsRareTemplate,PrevSameTemplate,PrevSameComponent,WindowTemplateUniques,SequenceDelta,anomaly_score,anomaly_threshold,is_anomaly,rank,dbscan_is_anomaly,detector_agreement
94,81109,222041,3390,WARN,dfs.DataNode$DataXceiver,10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,93,blk_-62891505109755100,1,87,7,Unknown,0,2,80,454,80,1,1,1,1,2.0,1.0,0.37124771696556624,0.3595655632374373,1,11,1,1
798,81110,191403,14120,WARN,dfs.DataNode$DataXceiver,10.250.14.196:50010:Got exception while serving blk_2967299761311489673 to /10.251.89.155:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,797,blk_2967299761311489673,1,90,7,Unknown,0,2,80,454,80,1,1,0,0,7.0,1.0,0.3711155573454843,0.3595655632374373,1,12,1,1
319,81110,72124,7772,WARN,dfs.DataNode$DataXceiver,10.251.42.246:50010:Got exception while serving blk_-7658293778087733436 to /10.251.30.179:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,318,blk_-7658293778087733436,1,91,7,Unknown,0,2,80,454,80,1,1,0,1,2.0,1.0,0.37104072626913853,0.3595655632374373,1,13,1,1
693,81110,132523,11832,WARN,dfs.DataNode$DataXceiver,10.251.39.179:50010:Got exception while serving blk_1683075246463470765 to /10.250.14.38:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,692,blk_1683075246463470765,1,89,7,Unknown,0,2,80,454,80,1,1,1,1,5.0,1.0,0.37100642774691994,0.3595655632374373,1,14,1,1
320,81110,80546,7970,WARN,dfs.DataNode$DataXceiver,10.251.111.130:50010:Got exception while serving blk_3169060243663461885 to /10.251.214.32:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,319,blk_3169060243663461885,1,91,7,Unknown,0,2,80,454,80,1,1,1,1,2.0,1.0,0.37085755466139425,0.3595655632374373,1,15,1,1
800,81110,193334,14294,WARN,dfs.DataNode$DataXceiver,10.251.39.179:50010:Got exception while serving blk_-8558281124275910849 to /10.251.30.134:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,799,blk_-8558281124275910849,1,91,7,Unknown,0,2,80,454,80,1,1,1,1,6.0,1.0,0.37068598448261847,0.3595655632374373,1,16,1,1
700,81110,135653,12034,WARN,dfs.DataNode$DataXceiver,10.251.214.130:50010:Got exception while serving blk_424461424221613461 to /10.251.71.193:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,699,blk_424461424221613461,1,90,7,Unknown,0,2,80,454,80,1,1,0,0,3.0,1.0,0.3705816026008429,0.3595655632374373,1,17,1,1
1110,81110,231904,17028,WARN,dfs.DataNode$DataXceiver,10.251.75.143:50010:Got exception while serving blk_2262752117989012641 to /10.250.13.188:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,1109,blk_2262752117989012641,1,90,7,Unknown,0,2,80,454,80,1,1,0,1,8.0,1.0,0.3705757183949738,0.3595655632374373,1,18,1,1
1114,81110,233954,17191,WARN,dfs.DataNode$DataXceiver,10.250.7.230:50010:Got exception while serving blk_-7029628814943626474 to /10.251.38.197:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,1113,blk_-7029628814943626474,1,90,7,Unknown,0,2,80,454,80,2,1,0,1,6.0,1.0,0.37012567585385103,0.3595655632374373,1,19,1,1
793,81110,175818,13937,WARN,dfs.DataNode$DataXceiver,10.250.10.223:50010:Got exception while serving blk_8478683141242372735 to /10.251.70.5:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,792,blk_8478683141242372735,1,88,7,Unknown,0,2,80,454,80,1,1,0,1,7.0,1.0,0.3696272342623395,0.3595655632374373,1,20,1,1
1120,81111,4102,17259,WARN,dfs.DataNode$DataXceiver,10.251.214.175:50010:Got exception while serving blk_481857539063371482 to /10.251.105.189:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,1119,blk_481857539063371482,1,91,7,Unknown,0,2,80,454,80,1,1,0,1,6.0,1.0,0.3695885080859856,0.3595655632374373,1,21,1,1
1123,81111,12254,17517,WARN,dfs.DataNode$DataXceiver,10.250.7.32:50010:Got exception while serving blk_-1508527605812345693 to /10.251.74.192:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,1122,blk_-1508527605812345693,1,89,7,Unknown,0,2,80,454,80,1,1,1,1,5.0,1.0,0.36924869499549173,0.3595655632374373,1,22,1,1
339,81110,82706,8552,WARN,dfs.DataNode$DataXceiver,10.251.198.33:50010:Got exception while serving blk_-8495670552887053546 to /10.250.10.223:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,338,blk_-8495670552887053546,1,91,7,Unknown,0,2,80,454,80,1,1,1,1,2.0,1.0,0.36915588043583636,0.3595655632374373,1,23,1,1
685,81110,125920,11517,WARN,dfs.DataNode$DataXceiver,10.251.42.16:50010:Got exception while serving blk_4963214289850966664 to /10.251.202.181:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,684,blk_4963214289850966664,1,90,7,Unknown,0,2,80,454,80,1,1,1,1,7.0,1.0,0.3691115968524147,0.3595655632374373,1,24,1,1
82,81109,214910,2848,WARN,dfs.DataNode$DataXceiver,10.250.13.188:50010:Got exception while serving blk_6241141267506413726 to /10.251.194.245:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,81,blk_6241141267506413726,1,91,7,Unknown,0,2,80,454,80,1,1,1,1,7.0,1.0,0.369019782641816,0.3595655632374373,1,25,1,1
